RN;SAT;Região;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondulação (N) Conexão *;Ondulação (N) MAPGEO2015 **;Discrepâncias dif.Conexão_X_MAPGEO2015;;;
3662B;93290;NORDESTE;BAHIA;-13,8508161;-41,0643108;372,0640;359,8400;-12,22;-12,08;-0,14;;;
3662R;93291;NORDESTE;BAHIA;-13,7258124;-40,9789985;413,9876;401,9500;-12,04;-11,92;-0,12;;;
3662X;93292;NORDESTE;BAHIA;-13,6805144;-40,9103314;435,1478;423,2700;-11,88;-11,83;-0,05;;;
3663G;93293;NORDESTE;BAHIA;-13,6148186;-40,8008254;384,9818;373,3100;-11,67;-11,63;-0,04;;;
3663U;93294;NORDESTE;BAHIA;-13,5382534;-40,6531872;386,8313;375,7500;-11,08;-11,09;0,01;;;
3664E;93295;NORDESTE;BAHIA;-13,5362179;-40,5541249;703,5800;693,1500;-10,43;-10,61;0,18;;;
3664L;93296;NORDESTE;BAHIA;-13,6125856;-40,4776933;677,0562;666,9800;-10,08;-10,21;0,13;;;
3664S;91313;NORDESTE;BAHIA;-13,6872217;-40,4105834;633,9528;624,0500;-9,90;-10,04;0,14;;;
3664T;93297;NORDESTE;BAHIA;-13,6950820;-40,3925343;636,6230;626,7800;-9,84;-10,00;0,16;;;
3665B;93298;NORDESTE;BAHIA;-13,7480961;-40,2985501;681,8465;672,1600;-9,69;-9,84;0,15;;;
3665J;93299;NORDESTE;BAHIA;-13,8329311;-40,1999269;299,8049;290,1500;-9,65;-9,82;0,17;;;
3665M;93301;NORDESTE;BAHIA;-13,8555832;-40,1819365;210,4961;200,8100;-9,69;-9,81;0,12;;;
3666F;93147;NORDESTE;BAHIA;-13,8779983;-40,0695030;198,9549;189,2600;-9,69;-9,73;0,04;;;
3666J;93300;NORDESTE;BAHIA;-13,8834425;-40,0323849;192,8600;183,2500;-9,61;-9,74;0,13;;;
3666V;93309;NORDESTE;BAHIA;-14,0087032;-39,9074563;188,8663;179,0600;-9,81;-9,91;0,10;;;
3667A;91311;NORDESTE;BAHIA;-14,0083511;-39,8695509;158,2829;148,4100;-9,87;-9,96;0,09;;;
3667E;93310;NORDESTE;BAHIA;-14,0508989;-39,8122570;154,9663;145,1000;-9,87;-9,95;0,08;;;
3667P;93311;NORDESTE;BAHIA;-14,1445066;-39,7147333;139,6342;129,9000;-9,73;-9,83;0,10;;;
3667V;93312;NORDESTE;BAHIA;-14,1958804;-39,6258377;141,3108;131,8400;-9,47;-9,51;0,04;;;
3668E;93146;NORDESTE;BAHIA;-14,2140654;-39,5219478;107,3328;98,1200;-9,21;-9,24;0,03;;;
3671H;99549;NORDESTE;BAHIA;-13,8712770;-40,0991105;199,5117;189,7300;-9,78;-9,70;-0,08;;;
801L;93084;NORDESTE;BAHIA;-09,6123560;-42,0925020;415,4067;399,4100;-16,00;-15,73;-0,27;;;
801N;93086;NORDESTE;BAHIA;-09,5768210;-42,1313250;416,0676;400,1060;-15,96;-15,70;-0,26;;;
889X;93284;NORDESTE;BAHIA;-12,3655276;-42,4567360;492,8948;477,7180;-15,18;-15,12;-0,06;;;
